LRLRRRLRRLRLLRRRLRRLLRRRLLRLRRLLRRRLRLRRRLRRLRRLRRLLLLRRRLRRLRRRLRRRLRRRLRLRRRLRLLRRRLLRLRRRLRRRLRLRRLLRLLRRLRLLRRRLLRRLRLLLRLRLRLLRRRLRLRLRRLRRRLRRLRLRRRLRRRLRRRLLLLRLLRRLLRRRLRRLRRLLRRLRRRLLRRLLLRRRLRLRLLRRLRRRLRRLRRRLLRLRRRLRLLRLLRRRLRRLLRLRRRLRRLRRRLRRLRRLRRRLRRLRRRR

AAA = (VHV, XNS)
BBA = (TVC, KCX)
BBB = (GDQ, GGB)
BBQ = (NVB, VVF)
BCF = (NVH, FNK)
BCR = (LMX, XJJ)
BDN = (PSJ, KQG)
BDV = (RFB, HSN)
BFG = (PNF, CCN)
BFT = (LTR, TPN)
BGP = (HFG, JVD)
BJS = (KMX, KMX)
BKG = (GHC, GNB)
BKL = (PBM, MCG)
BLA = (KVD, DNT)
BLM = (VGC, TBJ)
BMN = (QXR, JSP)
BMS = (TXQ, XND)
BNF = (QKN, KDG)
BNQ = (FQM, XVJ)
BPL = (TLX, DQJ)
BPQ = (RBP, TQV)
BRR = (HHS, MCH)
BRV = (XDQ, GLR)
BTB = (SJS, JRR)
BVC = (LJP, LJP)
BVH = (JDR, DVK)
BVR = (TDP, MQM)
BVV = (NKG, CTJ)
BXN = (KBX, PHJ)
BXQ = (LCF, JTJ)
CBC = (VSN, JDM)
CBD = (KBX, PHJ)
CBQ = (CHR, RHK)
CCN = (XPG, DPP)
CFB = (PCF, DTG)
CFC = (XHT, MNB)
CFR = (JMC, KBM)
CHB = (KPK, DRB)
CHF = (BCF, MRM)
CHJ = (CRK, NPK)
CHR = (KCC, JBD)
CHX = (BFT, XQG)
CKJ = (FBJ, FBJ)
CKK = (TGF, RFT)
CKL = (HVG, NDH)
CKN = (LDN, MCV)
CKR = (QKG, DCJ)
CLB = (VHV, XNS)
CLC = (QMC, NBP)
CLX = (QTL, JKJ)
CMM = (RLQ, RQQ)
CMN = (GNQ, DBC)
CMP = (FDD, CHX)
CMQ = (QFP, CVB)
CNG = (HJM, SSB)
CNT = (NRF, SDD)
CPM = (BDN, MMX)
CQG = (TCN, XSF)
CQS = (GKQ, LLR)
CRJ = (SRJ, QBR)
CRK = (QJN, TVF)
CRL = (SQD, DTF)
CRQ = (QQV, TVR)
CRT = (TMD, CXB)
CST = (RCB, LMP)
CSV = (LLB, FJB)
CTJ = (CVL, FSD)
CTM = (DCJ, QKG)
CTN = (XTL, VJC)
CVB = (BXQ, TDM)
CVC = (FXK, RQN)
CVL = (QLB, JKG)
CVM = (KKQ, MSG)
CVS = (QSB, QSK)
CXB = (MRQ, HLR)
CXL = (NHH, DLT)
DBC = (QPG, HDG)
DBJ = (JTT, HXQ)
DBP = (PPP, LVK)
DCJ = (TLB, BDV)
DCL = (RQQ, RLQ)
DCX = (MSC, BLM)
DDP = (RDN, FVH)
DDR = (TGF, RFT)
DFC = (CRL, FRL)
DFG = (GLF, XPS)
DFJ = (TRK, MLD)
DFV = (PGN, LGS)
DGH = (SQF, SQF)
DGL = (BGP, NKD)
DGX = (RTL, JCX)
DHL = (XNV, HKL)
DJC = (BPQ, GNV)
DJJ = (CNG, NMX)
DLB = (RHK, CHR)
DLT = (KNG, GND)
DMG = (JBV, LTH)
DMN = (VGS, GVX)
DNT = (QDR, NLX)
DPP = (BKL, XCJ)
DPT = (KKX, LFM)
DQB = (VXT, CHJ)
DQJ = (SDG, QXS)
DQK = (TTQ, GSS)
DQR = (DGX, PPL)
DQS = (CCN, PNF)
DRA = (XTJ, TVS)
DRB = (LHJ, XHR)
DRQ = (JHP, XGJ)
DRR = (NPT, LNS)
DRV = (SRP, QKH)
DSH = (VNV, CFB)
DSJ = (JDD, JDD)
DSM = (TPX, JLN)
DTD = (CXB, TMD)
DTF = (VKX, DQR)
DTG = (QKC, GBN)
DTK = (BCR, FLT)
DVK = (LGR, MTV)
DVV = (MQQ, QHQ)
DXX = (PPP, LVK)
FBF = (TKQ, BTB)
FBH = (NCC, SGM)
FBJ = (KDP, KDP)
FDD = (BFT, XQG)
FDF = (JLL, LBQ)
FDS = (KMX, VKC)
FDZ = (TVS, XTJ)
FFD = (TQC, QPV)
FGG = (SHJ, DGL)
FGL = (QKN, KDG)
FGS = (FJB, LLB)
FHH = (GVF, HHV)
FJB = (FRV, QPL)
FJL = (CHX, FDD)
FJT = (FSX, NJX)
FKB = (PTG, NKC)
FKK = (DJC, FLJ)
FLC = (XVG, MNH)
FLJ = (GNV, BPQ)
FLT = (LMX, XJJ)
FMF = (SCL, GST)
FMK = (KGP, KSJ)
FMR = (QJD, TLF)
FNK = (TGX, JRD)
FPD = (XNJ, SSK)
FPN = (BCR, FLT)
FPR = (XQQ, RPK)
FQD = (DBC, GNQ)
FQM = (LNJ, JXV)
FRL = (DTF, SQD)
FRV = (CFR, HVX)
FRX = (SDF, THQ)
FSD = (JKG, QLB)
FSK = (DSM, NFJ)
FSR = (QCD, DFC)
FSX = (RXN, KCS)
FTV = (PCN, FHH)
FVD = (PGN, LGS)
FVH = (GSD, XHH)
FXB = (SBB, QGT)
FXK = (TNB, TSP)
FXS = (JNS, RFG)
GBN = (XJR, NHL)
GDM = (LMN, RGL)
GDQ = (LNM, SHL)
GDV = (MRM, BCF)
GFF = (FXS, HKJ)
GGB = (LNM, SHL)
GGC = (JHP, XGJ)
GHC = (THN, MXG)
GHG = (NDH, HVG)
GHQ = (KJF, NDJ)
GJD = (LBQ, JLL)
GJG = (HBX, SRQ)
GJJ = (RSH, HCP)
GKQ = (HLP, PQB)
GLF = (SGS, PRL)
GLL = (QCJ, NBB)
GLR = (NHM, XSH)
GNB = (THN, MXG)
GND = (XQP, VPT)
GNP = (DRR, HGV)
GNQ = (HDG, QPG)
GNR = (BRV, RSB)
GNV = (TQV, RBP)
GPP = (XLH, MDN)
GQD = (FKK, KQJ)
GRJ = (TPC, MGG)
GSC = (XDK, JTQ)
GSD = (VFR, CHB)
GSS = (QKL, PJV)
GST = (MBG, LFG)
GSV = (VXK, HPC)
GTT = (NJQ, BVV)
GVF = (KXC, CMQ)
GVP = (GNR, XMQ)
GVT = (VGS, GVX)
GVX = (LPJ, TPB)
GXD = (RQN, FXK)
HBD = (JQK, LBB)
HBX = (LHV, NJF)
HCP = (HHD, KXB)
HCZ = (RGL, LMN)
HDG = (XNR, SKM)
HDQ = (HBD, JPX)
HFG = (BMS, PFX)
HGV = (LNS, NPT)
HHD = (SSH, BBQ)
HHG = (FJL, CMP)
HHS = (JCD, BKG)
HHV = (KXC, CMQ)
HJM = (SHB, DSH)
HJX = (GDM, HCZ)
HKJ = (RFG, JNS)
HKL = (BMN, SST)
HKM = (HVH, VPQ)
HKQ = (XLH, MDN)
HLP = (GJG, RSC)
HLR = (KGS, TJJ)
HMF = (QBR, SRJ)
HPC = (VXS, RCQ)
HPD = (HKJ, FXS)
HQC = (SNS, NBK)
HRQ = (JGM, JMF)
HRV = (SBB, QGT)
HSN = (MXM, NXT)
HSV = (NJX, FSX)
HTM = (KGP, KSJ)
HTX = (FPR, VCQ)
HVG = (LRR, VJM)
HVH = (RXV, VPH)
HVX = (JMC, KBM)
HXB = (TLX, DQJ)
HXF = (JDM, VSN)
HXK = (CKK, DDR)
HXQ = (TSR, RDX)
JBD = (CQS, XCG)
JBV = (TTM, DQB)
JCD = (GNB, GHC)
JCN = (TDL, XBK)
JCP = (JKJ, QTL)
JCX = (FBF, NSB)
JDD = (TVC, KCX)
JDM = (KLK, TLS)
JDR = (LGR, MTV)
JGB = (DXX, DBP)
JGM = (NTS, VJN)
JHP = (LPT, TBV)
JHV = (JJG, FTV)
JJC = (DJJ, XSQ)
JJG = (PCN, FHH)
JJJ = (BDN, MMX)
JKG = (CFC, LBN)
JKJ = (NHG, QBX)
JLL = (VMF, TXB)
JLN = (RXM, SQK)
JLX = (VSK, XPM)
JMC = (HRQ, TSJ)
JMF = (NTS, VJN)
JMX = (QJD, TLF)
JNS = (GHQ, MXC)
JNV = (RSG, XXP)
JPC = (XTJ, TVS)
JPV = (GJJ, KSV)
JPX = (JQK, LBB)
JQG = (CST, VLQ)
JQK = (FJT, HSV)
JRD = (CVC, GXD)
JRR = (HMF, CRJ)
JSL = (QKJ, FSR)
JSP = (NXD, MKF)
JTC = (MGG, TPC)
JTH = (JPC, JPC)
JTJ = (VQV, DDP)
JTQ = (CVS, QBC)
JTT = (TSR, RDX)
JVD = (BMS, PFX)
JVX = (HTM, FMK)
JXS = (TRK, MLD)
JXV = (TRC, HQC)
KBG = (SSK, XNJ)
KBM = (HRQ, TSJ)
KBN = (TJQ, XBH)
KBX = (CKR, CTM)
KCC = (XCG, CQS)
KCL = (VLQ, CST)
KCM = (GDM, GDM)
KCS = (MRT, RSV)
KCX = (VJS, HTX)
KDF = (TGM, XHS)
KDG = (RBQ, LXF)
KDP = (MGL, RXR)
KDQ = (TJD, QBP)
KGK = (MNH, XVG)
KGN = (FSR, QKJ)
KGP = (HKM, TFV)
KGS = (GNP, TGK)
KGX = (DGL, SHJ)
KHB = (SJV, VLM)
KJF = (CRQ, TCK)
KKQ = (BNQ, SVN)
KKX = (VRN, MJR)
KLK = (PRT, DBJ)
KLN = (JDD, QRZ)
KMG = (PMX, PNT)
KMX = (LFV, LFV)
KNG = (XQP, VPT)
KPK = (LHJ, LHJ)
KQC = (TJD, QBP)
KQG = (XFG, KMG)
KQJ = (FLJ, DJC)
KQQ = (DGH, LBJ)
KRD = (PSN, SLF)
KSJ = (TFV, HKM)
KSM = (NBB, QCJ)
KSV = (RSH, HCP)
KVD = (NLX, QDR)
KXB = (BBQ, SSH)
KXC = (QFP, CVB)
LBB = (FJT, HSV)
LBJ = (SQF, TJS)
LBN = (XHT, MNB)
LBQ = (TXB, VMF)
LBV = (FQD, CMN)
LCF = (VQV, DDP)
LCR = (XPS, GLF)
LDN = (FSK, QJP)
LDR = (PBV, NTR)
LFB = (XSF, TCN)
LFG = (KBG, FPD)
LFM = (VRN, MJR)
LFV = (CLB, CLB)
LGG = (DDR, CKK)
LGR = (KSM, GLL)
LGS = (VXJ, DQK)
LHJ = (JTH, JTH)
LHL = (LRV, NMJ)
LHV = (FPN, DTK)
LJM = (TVD, HHG)
LJP = (KVD, DNT)
LKB = (LJP, SLZ)
LLB = (QPL, FRV)
LLK = (JPC, FDZ)
LLR = (HLP, PQB)
LLT = (SJV, VLM)
LMN = (NTT, LJM)
LMP = (PJN, LBV)
LMX = (LRJ, PMP)
LNJ = (TRC, HQC)
LNM = (BFG, DQS)
LNN = (BVV, NJQ)
LNS = (RBK, NLH)
LPJ = (KDQ, KQC)
LPM = (HKQ, GPP)
LPR = (QLS, VCD)
LPT = (FFD, RVM)
LRJ = (FRX, XLJ)
LRR = (PTP, LHL)
LRV = (CQG, LFB)
LTH = (TTM, DQB)
LTK = (JJC, STN)
LTR = (VQT, GQD)
LVK = (JCN, XBM)
LVM = (FMF, SLJ)
LXF = (CBQ, DLB)
MBG = (FPD, KBG)
MCG = (DMG, PPJ)
MCH = (JCD, BKG)
MCV = (FSK, QJP)
MDN = (XLV, XDL)
MGB = (CBC, HXF)
MGG = (PNP, GVP)
MGL = (LNN, GTT)
MHH = (PBV, NTR)
MHM = (FBJ, PMN)
MJR = (DRQ, GGC)
MKF = (DCX, PKH)
MLD = (BNF, FGL)
MMG = (TDP, MQM)
MMT = (CRT, DTD)
MMX = (PSJ, KQG)
MNB = (DCL, CMM)
MNH = (CNT, NMH)
MPT = (KKX, LFM)
MQM = (JNV, QMS)
MQQ = (BXN, CBD)
MRM = (NVH, FNK)
MRQ = (TJJ, KGS)
MRT = (JQG, KCL)
MSC = (VGC, TBJ)
MSG = (BNQ, SVN)
MSJ = (SPD, DRV)
MTD = (CLB, ZZZ)
MTQ = (DHL, PVN)
MTV = (GLL, KSM)
MXC = (NDJ, KJF)
MXG = (KHB, LLT)
MXM = (CVM, SMG)
